gold\pred,ACCOUNT_INQUIRY,TRANSFER_LOCAL,TRANSFER_INTERNATIONAL,CARD_SERVICES,CARD_LOST_STOLEN,STATEMENT_REQUEST,FINANCING_INQUIRY,EXCHANGE_RATE,BRANCH_ATM_INFO,PRODUCT_INFO,SHARIA_INQUIRY,COMPLAINT,ESCALATION_REQUEST,GENERAL_INFO,UNKNOWN
ACCOUNT_INQUIRY,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRANSFER_LOCAL,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3
TRANSFER_INTERNATIONAL,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
CARD_SERVICES,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
CARD_LOST_STOLEN,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0
STATEMENT_REQUEST,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0
FINANCING_INQUIRY,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0
EXCHANGE_RATE,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
BRANCH_ATM_INFO,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
PRODUCT_INFO,0,0,0,0,0,0,4,0,0,7,0,0,0,0,1
SHARIA_INQUIRY,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0
COMPLAINT,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
ESCALATION_REQUEST,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2
GENERAL_INFO,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
