text_len,latency_ms
21,0.239
20,0.211
21,0.196
33,0.251
18,0.19
39,0.201
26,0.196
22,0.21
11,0.149
19,0.205
20,0.176
21,0.205
35,0.197
20,0.186
38,0.198
34,0.218
37,0.334
44,0.237
14,0.187
11,0.157
29,0.239
33,0.188
28,0.242
39,0.199
19,0.189
28,0.184
26,0.196
32,0.181
28,0.183
33,0.182
32,0.193
36,0.201
39,0.195
15,0.177
28,0.207
24,0.211
16,0.176
27,0.216
33,0.185
24,0.222
24,0.207
23,0.204
21,0.195
40,0.201
34,0.216
16,0.18
23,0.213
26,0.2
22,0.321
32,0.315
44,0.214
27,0.184
23,0.204
27,0.178
28,0.222
39,0.197
20,0.186
26,0.221
39,0.192
35,0.25
25,0.199
32,0.233
26,0.186
30,0.223
28,0.228
27,0.166
21,0.194
31,0.253
33,0.187
14,0.172
19,0.187
19,0.177
32,0.243
20,0.18
34,0.189
25,0.198
22,0.189
22,0.207
28,0.189
25,0.201
14,0.179
42,0.427
39,0.215
44,0.203
28,0.237
28,0.178
19,0.191
5,0.114
20,0.186
41,0.27
30,0.238
30,0.18
24,0.212
19,0.175
19,0.184
17,0.189
25,0.224
25,0.201
25,0.201
17,0.175
25,0.197
17,0.219
26,0.207
33,0.191
20,0.165
20,0.185
27,0.18
25,0.208
23,0.201
42,0.21
22,0.192
28,0.23
28,0.218
11,0.157
59,0.352
25,0.296
22,0.208
42,0.289
21,0.188
22,0.189
39,0.201
13,0.162
20,0.185
41,0.272
28,0.231
14,0.167
18,0.184
28,0.21
14,0.162
24,0.166
35,0.244
32,0.226
35,0.238
28,0.23
27,0.191
21,0.224
32,0.228
28,0.192
28,0.232
20,0.198
22,0.191
26,0.209
37,0.198
22,0.193
28,0.224
30,0.172
35,0.226
44,0.203
32,0.185
33,0.192
35,0.259
33,0.182
43,0.535
59,0.267
28,0.24
24,0.195
19,0.168
20,0.18
36,0.246
20,0.176
19,0.18
33,0.17
34,0.226
28,0.185
34,0.234
20,0.159
35,0.213
23,0.2
14,0.201
33,0.178
34,0.239
30,0.222
19,0.188
22,0.197
49,0.295
23,0.2
18,0.176
34,0.236
22,0.172
20,0.169
